,601,602,700,701,702,142,143,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2015-06-28,326.42,335.13,440.05,280.67,322.35,1641.52,836.51,,,,,,,,
2015-06-29,326.12,334.89,439.93,280.58,322.35,1641.43,831.16,175.32049560546875,99.48978424072266,1246.75,106.47003173828125,86.2044677734375,20.709999084472656,113.06999969482422,24.71470069885254
2015-06-30,327.12,335.84,440.47,280.56,322.4,1648.8,834.68,175.68753051757812,99.84416961669922,1253.949951171875,106.40080261230469,86.04084777832031,21.110000610351562,112.37000274658203,25.191999435424805
2015-07-01,327.25,335.44,440.09,280.62,322.38,1673.69,846.3,177.095703125,100.63680267333984,1256.4000244140625,106.11060333251953,85.76497650146484,20.770000457763672,111.9800033569336,24.185400009155273
2015-07-02,327.71,335.71,441.07,280.62,322.38,1663.9,840.25,176.93356323242188,100.66478729248047,1248.260009765625,106.42244720458984,86.09307861328125,20.75,111.76000213623047,24.25
2015-07-05,327.99,335.92,441.46,280.59,322.35,1653.21,841.03,,,,,,,,
2015-07-06,328.44,336.32,442.02,280.61,322.4,1658.64,835.22,176.4300079345703,100.43163299560547,1246.9599609375,106.78631591796875,86.43605041503906,19.84000015258789,112.05999755859375,22.26729965209961
2015-07-07,330.25,338.63,445.09,280.65,322.44,1655.69,837.76,177.53953552246094,100.68342590332031,1248.050048828125,106.90757751464844,86.79400634765625,19.799999237060547,110.76000213623047,22.09000015258789
2015-07-08,329.51,337.67,443.91,280.61,322.43,1641.05,829.2,174.56088256835938,98.93029022216797,1228.9599609375,107.08949279785156,86.91326904296875,19.690000534057617,111.08999633789062,21.8700008392334
2015-07-09,329.1,337.16,443.78,280.61,322.48,1658.06,834.84,174.87669372558594,98.87433624267578,1234.1500244140625,106.73433685302734,86.33915710449219,19.979999542236328,111.36000061035156,22.451000213623047
2015-07-10,,,,,,,,177.07864379882812,100.38502502441406,1252.02001953125,106.37047576904297,85.78736114501953,19.989999771118164,111.48999786376953,22.520000457763672
2015-07-12,328.35,336.2,442.67,280.64,322.46,1661.26,839.49,,,,,,,,
