,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2014-06-22,336.42,374.26,245.42,,,423.35,520.72,,,,,1906.5,908.36,297.63,319.17,317.77,1366.0,,278.77
2014-06-23,335.84,373.87,245.37,33.583805084228516,95.94168853759766,422.85,520.08,85.743896484375,103.51423645019531,85.26324462890625,126.8499984741211,1903.95,906.21,297.35,319.03,317.6,1363.84,46.609500885009766,278.7
2014-06-24,336.23,373.95,245.58,33.4079704284668,95.94168853759766,422.97,520.6,85.66069030761719,103.6508560180664,85.62284088134766,126.9800033569336,1921.95,903.68,297.17,319.0,317.47,1370.97,46.59510040283203,278.66
2014-06-25,336.56,374.43,245.52,33.539852142333984,95.94168853759766,423.6,522.03,86.20592498779297,103.77043151855469,85.70918273925781,126.98999786376953,1908.93,895.48,297.06,319.06,317.3,1365.55,46.76369857788086,278.65
2014-06-26,336.99,374.94,245.44,33.504676818847656,95.95036315917969,424.25,523.78,86.25212860107422,103.89847564697266,85.86739349365234,126.7300033569336,1888.78,892.08,296.74,319.09,316.81,1350.54,46.51259994506836,278.76
2014-06-27,,,,33.70688247680664,95.95036315917969,,,86.63097381591797,103.95829772949219,85.85298919677734,126.66000366210938,,,,,,,46.49810028076172,
2014-06-29,336.93,374.85,245.47,,,424.13,523.65,,,,,1911.78,895.66,296.23,319.0,316.22,1359.89,,278.76
2014-06-30,336.55,374.57,245.61,33.715675354003906,95.95036315917969,423.68,522.85,86.77885437011719,104.00950622558594,85.7739028930664,128.0399932861328,1899.41,897.56,295.29,318.95,315.14,1351.44,46.365501403808594,279.07
2014-07-01,336.72,374.47,245.43,34.05855178833008,95.95036315917969,423.57,522.72,87.73059844970703,103.84967041015625,85.44213104248047,127.69999694824219,1900.71,898.08,295.19,318.88,315.09,1353.89,46.36899948120117,279.0
2014-07-02,336.18,374.11,245.42,34.09371566772461,95.94168853759766,423.08,521.48,87.87847900390625,103.61890411376953,85.13922119140625,127.69999694824219,1899.54,899.98,295.44,318.88,315.3,1355.19,46.024200439453125,279.06
2014-07-03,335.75,373.59,245.35,34.243167877197266,95.95036315917969,422.38,519.77,88.43290710449219,103.48209381103516,85.05268859863281,127.16000366210938,1905.51,905.89,295.0,318.87,314.93,1364.5,45.86690139770508,279.09
2014-07-06,335.93,373.62,245.44,,,422.41,519.78,,,,,1904.21,900.78,295.02,318.89,315.01,1362.9,,279.12
