,170,603,601,690,637,704,701,714,XLK,XLV,XOP,QQQ,SHV,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2014-07-06,1362.9,295.02,321.93,373.62,245.44,519.78,279.12,332.1,,,,,,13930.0,4402.0,5495.0,,,,,,
2014-07-07,1332.94,293.9,321.13,373.25,245.38,518.37,279.02,330.27,34.21830368041992,52.59251403808594,269.27947998046875,88.02505493164062,95.54574584960938,13840.0,4344.0,5397.0,,23.13880729675293,18.92454719543457,77.24371337890625,8.698646545410156,6.5110578536987305
2014-07-08,1303.9,292.38,320.54,373.36,245.22,518.52,278.73,327.03,33.91114044189453,52.099334716796875,268.80853271484375,86.96405029296875,95.54574584960938,13700.0,4339.0,5379.0,,22.932605743408203,18.530742645263672,77.18201446533203,8.726266860961914,6.5110578536987305
2014-07-09,1323.36,293.21,321.17,373.89,245.25,520.17,278.73,328.57,34.077880859375,52.3204231262207,271.39910888671875,87.60986328125,95.54574584960938,13720.0,4369.0,5451.0,,22.895780563354492,18.363008499145508,77.93771362304688,8.715219497680664,6.5110578536987305
2014-07-10,1321.01,294.28,322.01,374.44,245.3,521.53,278.75,330.76,33.981346130371094,52.28640365600586,267.4627990722656,87.33307647705078,95.53710174560547,13500.0,4330.0,5441.0,,22.586477279663086,18.435935974121094,77.55987548828125,8.715219497680664,6.534477710723877
2014-07-11,,,,,,,,,34.15687942504883,52.39695739746094,263.492919921875,87.89582824707031,95.53710174560547,,,,,22.431825637817383,18.40676498413086,77.3979263305664,8.720741271972656,6.548529624938965
2014-07-13,1347.16,294.7,322.2,374.7,245.19,522.25,278.81,331.37,,,,,,13590.0,4376.0,5474.0,,,,,,
2014-07-14,1366.93,294.9,322.34,374.78,245.22,522.26,278.88,332.15,34.40260696411133,52.56703186035156,266.8236389160156,88.42173767089844,95.54574584960938,13690.0,4399.0,5507.0,,22.203533172607422,18.581787109375,77.47505950927734,8.709694862365723,6.581319332122803
2014-07-15,1370.11,295.22,322.61,375.11,245.18,523.21,278.93,332.26,34.34116744995117,52.11635208129883,260.8351745605469,88.1172866821289,95.54574584960938,13640.0,4359.0,5502.0,,21.85004425048828,18.42864418029785,77.34396362304688,8.665511131286621,6.581319332122803
2014-07-16,1377.17,295.19,322.44,374.64,245.43,522.05,278.78,332.0,34.6571159362793,51.9462776184082,265.5787353515625,88.46786499023438,95.54574584960938,13700.0,4370.0,5477.0,,21.953144073486328,18.734935760498047,76.54969024658203,8.726266860961914,6.581319332122803
2014-07-17,1380.08,295.64,323.01,375.18,245.39,523.52,278.9,332.78,34.20951843261719,51.376564025878906,260.2968444824219,87.29617309570312,95.54574584960938,13730.0,4395.0,5492.0,,21.732213973999023,18.348421096801758,75.85569763183594,8.698646545410156,6.534477710723877
2014-07-18,,,,,,,,,34.622013092041016,52.2183837890625,263.7283935546875,88.68006896972656,95.54574584960938,,,,,21.76904296875,18.61825180053711,76.33379364013672,8.709694862365723,6.5391621589660645
2014-07-20,1354.82,294.95,322.5,374.97,245.26,522.77,278.85,331.41,,,,,,13720.0,4327.0,5396.0,,,,,,
2014-07-21,1361.81,295.11,322.63,375.1,245.33,522.95,278.88,331.51,34.578125,52.00580978393555,264.16583251953125,88.56937408447266,95.54574584960938,13790.0,4384.0,5436.0,,21.717483520507812,18.0202579498291,75.2233657836914,8.704174995422363,6.5391621589660645
2014-07-22,1360.34,295.43,322.85,375.28,245.25,523.54,278.84,332.09,34.86774444580078,52.45647430419922,266.38629150390625,89.13213348388672,95.53710174560547,13830.0,4377.0,5437.0,,21.702756881713867,17.830646514892578,74.2363052368164,8.687605857849121,6.532563209533691
2014-07-23,1357.2,296.14,323.43,375.75,245.2,524.93,278.86,333.11,34.929176330566406,52.88163757324219,268.270263671875,89.70417785644531,95.54574584960938,13920.0,4361.0,5425.0,,21.872142791748047,18.034833908081055,73.5268783569336,8.709694862365723,6.598548412322998
2014-07-24,1356.43,296.29,323.59,375.99,245.16,525.77,278.86,333.33,34.9028434753418,52.77109909057617,268.505859375,89.60269165039062,95.54574584960938,14010.0,4314.0,5448.0,,21.5481014251709,18.13693618774414,73.5268783569336,8.682083129882812,6.617403507232666
2014-07-25,,,,,,,,,34.85896301269531,52.575531005859375,264.60321044921875,89.25209045410156,95.53710174560547,,,,,20.981046676635742,17.845226287841797,73.81218719482422,8.665511131286621,6.607975482940674
2014-07-27,1348.41,296.33,323.85,376.43,245.13,527.19,278.82,333.31,,,,,,14040.0,4290.0,5471.0,,,,,,
2014-07-28,1349.37,296.84,324.58,377.18,245.21,529.16,278.89,334.12,34.920387268066406,52.62652587890625,261.1379089355469,89.2797622680664,95.53710174560547,13980.0,4300.0,5487.0,,20.870582580566406,17.97649574279785,73.85845947265625,8.676559448242188,6.598548412322998
2014-07-29,1342.45,297.05,324.84,377.41,245.0,530.0,278.89,334.37,34.85020065307617,52.669044494628906,262.1807556152344,89.12290954589844,95.54574584960938,13840.0,4260.0,5488.0,,21.290353775024414,18.902673721313477,73.88931274414062,8.654467582702637,6.6126885414123535
2014-07-30,1341.76,296.74,324.36,376.82,244.99,528.61,278.91,333.87,34.885292053222656,52.88163757324219,259.7248840332031,89.4735336303711,95.53710174560547,13490.0,4366.0,5515.0,,21.57756805419922,18.435935974121094,73.98957061767578,8.577149391174316,6.532563209533691
2014-07-31,1333.0,296.25,323.67,376.19,245.04,526.28,278.88,333.2,34.22707748413086,51.793212890625,253.29898071289062,87.66522216796875,95.53710174560547,13640.0,4349.0,5523.0,,21.467098236083984,18.231735229492188,72.91766357421875,8.571619033813477,6.329892158508301
2014-08-01,,,,,,,,,34.04278564453125,51.83573913574219,248.15158081054688,87.34232330322266,95.54574584960938,,,,,21.1651611328125,17.867101669311523,72.71720886230469,8.568846702575684,6.29689884185791
2014-08-03,1334.18,296.84,324.28,376.92,245.0,528.17,278.9,333.67,,,,,,13480.0,4369.0,5532.0,,,,,,
2014-08-04,1339.45,296.7,324.2,377.09,244.89,528.64,278.9,333.49,34.288516998291016,52.056827545166016,255.0148468017578,87.9420166015625,95.54574584960938,13520.0,4450.0,5556.0,,21.356632232666016,17.115957260131836,72.72490692138672,8.557738304138184,6.306328773498535
2014-08-05,,,,,,,,,33.963802337646484,51.55512619018555,248.08436584472656,87.26848602294922,95.53710174560547,,,,,20.870582580566406,18.632835388183594,72.04631805419922,8.518865585327148,6.2403411865234375
2014-08-06,1335.69,296.34,323.79,376.89,244.76,527.95,278.88,332.91,33.858489990234375,51.52961730957031,249.29550170898438,87.20390319824219,95.54574584960938,13600.0,4450.0,5590.0,,21.017868041992188,17.94003677368164,72.07716369628906,8.535526275634766,6.2403411865234375
2014-08-07,1324.39,296.09,323.68,376.93,244.73,528.17,278.82,332.39,33.718055725097656,50.86636734008789,248.08436584472656,86.92715454101562,95.54574584960938,13690.0,4374.0,5550.0,,20.885311126708984,18.01296043395996,71.95377349853516,8.557738304138184,6.268623352050781
2014-08-08,,,,,,,,,33.937461853027344,51.470088958740234,255.62033081054688,87.55449676513672,95.55439758300781,,,,9.449999809265137,21.334535598754883,18.151519775390625,72.13885498046875,8.579954147338867,6.362886905670166
2014-08-10,1324.25,296.11,323.89,377.3,244.78,529.31,278.82,332.28,,,,,,13660.0,4379.0,5562.0,,,,,,
2014-08-11,1328.26,296.01,323.8,377.34,244.77,529.27,278.79,331.91,34.10421371459961,51.44459915161133,255.72142028808594,88.07115936279297,95.54574584960938,13830.0,4390.0,5571.0,9.449999809265137,23.462833404541016,17.991079330444336,72.1234359741211,8.641039848327637,6.433585166931152
2014-08-12,1329.69,295.95,323.78,377.4,244.71,529.37,278.75,331.8,34.0866584777832,51.402069091796875,250.94398498535156,88.03426361083984,95.53710174560547,13640.0,4396.0,5558.0,9.4399995803833,23.993070602416992,18.45052146911621,72.14655303955078,8.641039848327637,6.395877361297607
2014-08-13,1324.43,295.88,323.75,377.43,244.77,529.41,278.69,331.74,34.420166015625,52.02280044555664,251.1122283935547,88.96610260009766,95.53710174560547,13580.0,4513.0,5587.0,9.479999542236328,24.412837982177734,18.479692459106445,72.45499420166016,8.663251876831055,6.433585166931152
2014-08-14,1320.29,296.12,324.26,378.12,244.72,531.47,278.64,331.69,34.48159408569336,52.635047912597656,248.21893310546875,89.42737579345703,95.53710174560547,13420.0,4499.0,5552.0,9.4399995803833,23.92679214477539,18.596376419067383,72.22366333007812,8.65770149230957,6.504286289215088
2014-08-15,,,,,,,,,34.48159408569336,52.68605422973633,251.9196319580078,89.86100006103516,95.54574584960938,,,,9.470000267028809,24.022523880004883,18.472396850585938,72.32392120361328,8.663251876831055,6.513710021972656
2014-08-17,1321.99,296.47,324.74,378.61,244.92,532.98,278.7,332.6,,,,,,13310.0,4460.0,5552.0,,,,,,
2014-08-18,1304.62,296.53,324.72,378.35,244.93,532.2,278.73,333.31,34.80630874633789,53.09421920776367,253.40000915527344,90.55293273925781,95.54574584960938,13430.0,4387.0,5492.0,9.449999809265137,24.854698181152344,18.596376419067383,72.67864990234375,8.65770149230957,6.5372772216796875
2014-08-19,1295.02,296.67,324.96,378.63,244.94,532.99,278.82,333.5,35.02571105957031,53.44284439086914,255.85592651367188,91.0604019165039,95.54574584960938,13420.0,4400.0,5450.0,9.449999809265137,24.773693084716797,18.538034439086914,72.83285522460938,8.663251876831055,6.626828670501709
2014-08-20,1278.15,296.91,325.12,378.7,244.94,533.19,278.87,333.81,35.02571105957031,53.434349060058594,256.3606262207031,91.0604019165039,95.54574584960938,13420.0,4353.0,5441.0,9.479999542236328,24.236093521118164,18.596376419067383,72.63238525390625,8.65770149230957,6.610703468322754
2014-08-21,1288.9,297.15,325.19,378.56,244.99,532.65,279.01,334.11,35.19245529174805,53.5108757019043,258.4464416503906,91.24491119384766,95.55439758300781,13410.0,4317.0,5413.0,9.460000038146973,24.641128540039062,18.581787109375,72.89456176757812,8.646592140197754,6.624929904937744
2014-08-22,,,,,,,,,35.201236724853516,53.5619010925293,256.7979736328125,91.3832778930664,95.55439758300781,,,,9.4399995803833,23.867874145507812,18.683883666992188,72.83285522460938,8.618825912475586,6.634416580200195
2014-08-24,1280.41,297.16,325.25,378.69,244.88,533.11,279.07,333.89,,,,,,13700.0,4283.0,5412.0,,,,,,
